Manufacturer,BodyType,ClothingType,Size,Price
Lee,Boy,Jacket,XL,24
Chanel,Baby,Socks,Small,52
Aeropostale,Girl,Jeans,Small,52
Lee,Baby,Socks,Small,62
Chanel,Man,Jacket,Medium,22
Lee,Woman,Pants,Small,42
Levi,Woman,Socks,Medium,24
Lee,Boy,Shirt,XXL,23
Lee,Man,Jacket,XXL,23
Adidas,Man,Coat,Small,53
Levi,Man,Jacket,XL,42
Adidas,Boy,Coat,XXL,24
Lee,Woman,Coat,Large,24
Aeropostale,Boy,Pants,Medium,53
Levi,Baby,Pants,Small,53
Lee,Baby,Shirt,Small,52
Levi,Woman,Pants,Large,60
Nike,Baby,Jacket,Medium,24
Nike,Girl,Coat,XL,60
Lee,Baby,Jacket,Small,58
Chanel,Woman,Coat,XL,60
Levi,Girl,Shirt,XXL,23
Aeropostale,Woman,Coat,Small,24
Lee,Girl,Coat,Medium,62
Lee,Girl,Pants,Medium,23
Levi,Baby,Socks,Small,60
Lee,Man,Coat,Small,60
Levi,Baby,Socks,Medium,42
Levi,Girl,Pants,Small,53
Levi,Baby,Jacket,Large,23
Levi,Boy,Pants,Medium,24
Lee,Man,Jeans,XL,24
Nike,Woman,Pants,Large,60
Nike,Baby,Pants,Medium,23
Lee,Girl,Socks,Medium,58
