Flavor,Syrup,Topping,Size
Strawberry,Caramel,ChocolateChips,Medium
RockyRoad,Fudge,WhippedCream,Small
RockyRoad,Fudge,WhippedCream,Medium
Vanilla,Caramel,Sprinkles,Large
Strawberry,Blueberry,ChocolateChips,Medium
Vanilla,Blueberry,ChocolateChips,Medium
RockyRoad,Caramel,ChocolateChips,Large
Strawberry,Caramel,ChocolateChips,Small
RockyRoad,Blueberry,ChocolateChips,Large
Strawberry,Caramel,Sprinkles,Medium
Chocolate,Blueberry,ChocolateChips,Small
Chocolate,Caramel,Sprinkles,Small
RockyRoad,Caramel,Sprinkles,Large
RockyRoad,Fudge,WhippedCream,Large
Strawberry,Fudge,WhippedCream,Large
Strawberry,Fudge,ChocolateChips,Large
Strawberry,Caramel,ChocolateChips,Large
RockyRoad,Fudge,ChocolateChips,Medium
Strawberry,Blueberry,WhippedCream,Small
Chocolate,Blueberry,ChocolateChips,Large
Strawberry,Blueberry,ChocolateChips,Small
Vanilla,Blueberry,Sprinkles,Small
Vanilla,Fudge,Sprinkles,Small
Strawberry,Fudge,Sprinkles,Medium
Strawberry,Blueberry,WhippedCream,Large
Chocolate,Caramel,ChocolateChips,Small
RockyRoad,Fudge,ChocolateChips,Small
Chocolate,Blueberry,ChocolateChips,Medium
Chocolate,Blueberry,WhippedCream,Medium
Chocolate,Blueberry,Sprinkles,Medium
Chocolate,Caramel,Sprinkles,Medium
Chocolate,Fudge,Sprinkles,Large
Vanilla,Fudge,WhippedCream,Large
Vanilla,Caramel,ChocolateChips,Small
Strawberry,Blueberry,ChocolateChips,Large
Chocolate,Blueberry,WhippedCream,Small
Vanilla,Caramel,WhippedCream,Small
Chocolate,Fudge,WhippedCream,Small
Vanilla,Blueberry,Sprinkles,Large
RockyRoad,Blueberry,Sprinkles,Medium
RockyRoad,Caramel,Sprinkles,Small
Strawberry,Caramel,WhippedCream,Medium
RockyRoad,Caramel,ChocolateChips,Small
Strawberry,Caramel,Sprinkles,Small
Vanilla,Caramel,ChocolateChips,Medium
Vanilla,Blueberry,WhippedCream,Small
Strawberry,Fudge,ChocolateChips,Small
Chocolate,Fudge,WhippedCream,Medium
Chocolate,Fudge,ChocolateChips,Large
Vanilla,Caramel,WhippedCream,Medium
